Produkt;Kalorie;Bialko;Tluszcz;Weglowodany;Cukier;Blonnik
"Ciastka „karpatki"" ";457;4,9;30,8;40,7;25,6;0,4
" Ciastka „napoleonki""";349;6,1;16,9;43,5;18,7;0,7
Ciastka tortowe ze świeżymi owocami;279;3,3;8,8;47,1;29,9;1,9
Eklery z bitą śmietaną;327;5,9;18;35,5;20,3;0,4
Faworki luksusowe;514;8,8;31,6;49,5;12,1;1,2
Jabłecznik ze świeżych jabłek;322;3,4;9,3;56,8;30,1;2,2
Jagodzianki;320;7,4;5,2;61;19,2;2
Keks bakaliowy;392;6,5;17,5;53,7;15,5;3,6
Pączki tradycyjne;417;7,6;15,5;62,1;23,7;1,5
Piernik z bakaliami;378;6,6;12,4;60,9;14,1;2,7
Ptysie z bitą śmietaną;346;5,5;24,9;25,7;14,4;0,3
Rolada biszkoptowa z dżemem;300;7;4,8;56,7;46,6;0,5
Rolada z masą ma ową;358;9,4;15,8;46,6;27,3;4,5
Rożki z ciasta francuskiego z jabłkami;395;5;25,1;38,6;3,3;1,7
Sernik bez ciasta;365;13,5;18,3;36,8;19,1;0,7
Sernik krakowski;330;14;13,4;38,2;19,8;0,5
Sernik edeński z polewą kakaową;341;12,6;18,1;32,1;18,9;0,5
"Torcik „wuzetka"" ";319;5,8;11,1;49;33,7;0,8
Herbata, napar bez cukru;0;0,1;0;0;0;0
Kawa, napar bez cukru;1;0,2;0;0;0;0
Nektar z czarnych porzeczek;48;0,3;0,1;11,3;9,5;0,1
Sok ananasowy;48;0,3;0,1;11,4;4,2;0,1
Sok cytrynowy;30;0,4;0,3;6,4;0,2;0,1
Sok grejpfrutowy;40;0,5;0,1;9,2;2,5;0,1
Sok jabłkowy;42;0,1;0,1;10;2,2;0
Sok marchwiowy;46;0,4;0,1;11,3;9;1,3
Sok marchwiowo-brzoskwiniowy;46;0,5;0,1;11,3;8,3;1,3
Sok marchwiowo-jabłkowy;48;0,5;0,2;12,1;5,6;2,2
Sok marchwiowo-jabłkowo-pomarańczowy;48;0,6;0,2;11,8;5,9;1,9
Sok marchwiowo-pomarańczowy;44;0,6;0,1;10,8;6,2;1,7
Sok z marchwi, jabłek i owoców tropikalnych;57;0,7;0,3;14;5,3;2,6
Sok pomarańczowy;43;0,6;0,1;9,9;2,2;0,1
Sok pomidorowy;18;0,8;0,2;3,8;0,1;1,1
Sok wielowarzywny;27;1;0,3;5,7;2,3;1,2
Coca-cola, pepsi-cola;42;0;0;10,4;10;0
Napoje gazowane o smaku owocowym;42;0;0;10,3;5,9;0
Piwo pełne;49;0,5;0;3,8;0;0
Chipsy bekonowe;553;5,9;38;52,2;0,4;8,7
Chipsy paprykowe;565;6;40;50,4;0,4;8,4
Chipsy solone;568;5,6;40,7;49,9;0,4;8,3
"Przyprawa ""jarzynka""";97;1,9;0,4;23,3;4,5;4
Majonez domowy z olejem rzepakowym;714;1,3;79;2,6;2;0,1
Majonez domowy z olejem słonecznikowym;714;1,3;79;2,6;2;0,1
Musztarda;165;5,7;6,4;22;10,5;1,7
Sól biała;0;0;0;0;0;0
Żelatyna;343;84,2;0,1;0;0;0
Barszcz czerwony zabielany;34;2,1;1,4;3,4;1,8;0,5
Barszcz ukraiński z fasolką szparagową ;38;1,9;0,6;6,9;2,3;1,3
Barszcz z boćwiną;30;1,5;1,7;2,5;0,8;0,5
Kapuśniak z kwaszonej kapusty ;23;1,5;1,2;1,7;0,4;0,4
Kapuśniak ze słodkiej kapusty;33;0,7;2,1;3,2;0,6;0,7
Kasza manna na wywarze jarzynowym;22;0,5;0,8;3,4;0,2;0,4
Krem z zielonego groszku;67;3,1;3,8;5,9;0,6;1,6
Krupnik z kaszy gryczanej;45;1,7;1,2;7,2;0,3;0,9
Krupnik z kaszy jęczmiennej;42;1,5;0,9;7,4;0,3;0,9
 Krupnik z ryżu;45;1,5;1,1;7,6;0,3;0,8
Zupa cebulowa;45;1,4;2,7;4;0,3;0,4
Zupa cytrynowa z ryżem;59;1,4;2,2;8,6;0,8;0,6
Zupa fasolowa;68;4;1,8;10;0,4;2,4
Zupa grochowa;71;4,4;2,4;8,9;0,1;2,2
Zupa grzybowa zabielana;29;1,5;1,9;1,8;0,1;0,4
Zupa jarzynowa zabielana;46;1,7;1,8;6,2;0,3;1,1
Zupa kalafiorowa;29;1,7;0,5;4,9;0,6;1
Zupa neapolitańska z ementalerem;63;2,2;2,5;8,1;0,2;0,5
Zupa ogórkowa;43;1,4;2;5;0,4;0,4
Zupa owocowa z jabłek ;43;0,1;0,1;10,6;7,3;0,6
Zupa pomidorowa;12;1;0,1;2,1;0,8;0,5
Zupa pomidorowa z makaronem;35;1,6;1,8;3,3;0,4;0,2
Zupa pomidorowa z ryżem;37;1,5;1,8;3,9;0,4;0,2
Zupa pomidorowa zabielana;18;1,2;0,6;2,3;0,8;0,5
Zupa selerowa;39;1,6;1,8;4,5;0,3;0,8
Zupa selerowa z grzankami;54;1,9;1,9;8;0,6;1,3
Zupa szczawiowa;40;1,7;2,5;2,9;0,6;0,2
Zupa szpinakowa z ziemniakami;42;2,2;0,9;6,6;0,4;1
Zupa z fasoli szparagowej;47;2,2;0,6;8,9;0,4;1,8
Zupa z porów z makaronem;61;2,5;1,4;10,3;0,5;1,4
Zupa z zielonego groszku;62;3,2;1,2;11,2;1,9;3,1
Zupa ziemniaczana;40;1,4;1,1;6,6;0,4;0,9
Żurek;126;2,7;3,2;22,9;0,7;3,1
Kasza jęczmienna na mleku 3,2% tłuszczu;64;2,6;2,2;8,5;0,2;0,4
Kasza manna na mleku 3,2% tłuszczu;67;2,7;2,1;9,3;0,9;0,2
Kluski lane na mleku 3,2% tłuszczu;69;3,6;3,1;6,8;0,2;0,1
Makaron na mleku 3,2% tłuszczu;66;2,9;2,2;8,6;0,2;0,2
Płatki owsiane na mleku 3,2% tłuszczu;63;2,7;2,3;8,2;0,2;0,6
Ryż na mleku 3,2% tłuszczu;66;2,7;2,1;9,1;0,1;0,2
Dorsz w jarzynach;122;15,6;5,2;3,9;0,8;1,4
Dorsz, filety po grecku;155;10,6;10,8;4,6;0,6;1,2
Dorsz, filety panierowane, smażone;275;19,2;15,8;14,5;0;0,9
Karp w galarecie z warzywami;138;26,1;2,9;2,1;0,5;0,9
Karp z wody;104;16;3,7;2;0,5;1
Dorsz, kotlet mielony, smażony;261;15;17,8;10,9;0,3;0,7
Dorsz, pulpety;114;14,3;2,6;8,7;0,5;1
Dorsz z rusztu;172;22,1;9,1;0,6;0;0,2
Łosoś saute, smażony;380;21,2;31,4;4;0;0,1
Łosoś z rusztu;283;20,7;22,3;0,6;0;0,2
Cielęcina w potrawce;105;13,5;4,1;3,9;0,5;0,8
Klopsiki cielęce mielone, duszone;252;16,3;14,6;14,2;0,2;0,7
Kotlet cielęcy panierowany, smażony;367;27,1;21,3;17,4;0;1,2
Pieczeń cielęca , duszona;192;20,1;11,8;1,7;0,1;0,2
Kotlet mielony z kury, smażony;384;20;27,8;14,2;0,2;0,6
Kotlety z kurczaka saute, smażone;241;20,3;16,5;3,2;0;0,1
Kotlety z kurczaka panierowane, smażone;250;19,8;15,8;7,6;0;0,6
Kura w galarecie;193;27,3;8,8;1,2;0,3;0,5
Kurczak w jarzynach, gotowany;103;7,6;6,4;4,6;0,7;1,7
Kurczęta pieczone;179;16,4;12,7;0,1;0;0,1
Medaliony z indyka, smażone;247;18,6;17,9;3,4;0;0,1
Potrawka z kurczaka;150;13,3;9;4,6;0,6;1
Bitki wieprzowe, duszone;196;10,4;16,1;2,6;0;0,1
Bitki wieprzowe w jarzynach, duszone;201;10,7;16,1;4,3;0,4;0,9
Galaretka z óżek wieprzowych;203;16,9;14,9;0,8;0,2;0,4
Kotlet schabowy panierowany, smażony;353;19,1;24,1;15,9;0;1
Pieczeń wieprzowa, duszona;226;11,4;19,8;1,2;0,2;0,2
Rolada wieprzowa, pieczona;414;21,3;32,6;9,9;0,2;0,3
Schab, pieczony;291;30,4;18,7;0,7;0,2;0,2
Stek wieprzowy, smażony;472;21,7;42,7;1,5;0;0,1
Wątróbka wieprzowa saute, smażona;242;20,5;15,8;4,8;0,4;0,3
Wieprzowina, gotowana;365;22,5;29,8;3,1;0,9;1,4
Żeberka wieprzowe, duszone;210;7,9;19,2;2,2;0,2;0,2
Befsztyk bity wiejski, smażony;258;19,4;19,6;1,6;0,2;0,2
Bitki wołowe , duszone;103;13,6;4,4;2,3;0;0,1
Bitki wołowe w jarzynach, duszone;120;14,3;4,5;6,6;1,2;2
Boeuf Strogonow, duszony;221;19,6;14,3;3,7;0,2;0,2
Bryzol wolowy z polędwicy, smażony;253;24,7;16,6;1,4;0;0
Gulasz wołowy, duszony;149;14,1;9,2;2,6;0,3;0,3
Polędwica wołowa, pieczona;168;19,7;9,9;0;0;0
Pieczeń wołowa, duszona;156;15,8;9,5;1,9;0,1;0,1
Sztuka mięsa, gotowana;227;30,8;10,4;3,2;0,8;1,3
Klopsiki mielone z mięsa mieszanego, duszone;273;13,7;17,5;15,7;0,4;0,5
Kotlet mielony z mięsa mieszanego, smażony;286;13,1;21,1;11,7;0,2;0,7
Pasztet z mięsa mieszanego, pieczony;362;15,1;31,1;6,5;0,4;0,4
Pieczeń rzymska;209;14,5;11,4;12,5;0,2;0,6
Pulpety z mięsa mieszanego, gotowane;226;18,8;11,1;13,3;0,9;1,4
Mizeria ze śmietaną;34;1;2,2;2,8;0,1;0,4
Sałata zielona z olejem;113;1;11,6;2,1;0,1;1
Sałata zielona ze śmietaną;42;1,4;2,3;4,5;1,9;0,9
Surówka z cykorii i jabłek;163;1;16,4;3,8;0,7;0,8
Surówka z kapusty iałej;72;1,6;4,7;7;0,6;2,3
Surówka z kapusty kwaszonej;72;0,9;4,7;7,5;3,4;1,9
Surówka z kapusty pekińskiej, jabłek, papryki z olejem;57;1,1;3,8;5,7;1;2,1
Surówka z kapusty pekińskiej z majonezem;98;1,6;8,1;6;1,4;2,2
Surówka z marchwi i jabłek;66;1;0,3;16,6;7,7;3,8
Surówka z ogórków i pomidorów;34;1,1;1,8;3,6;0,3;0,7
Surówka z owoców;106;0,5;0,3;25,9;16,9;1,8
Surówka z owoców i warzyw;149;1,1;14,3;5,1;1,9;1
Surówka z papryki;93;1;7,5;6,3;2;1,3
Surówka z pomidorów;16;0,8;0,2;3,2;0,1;1,1
Surówka z porów z jabłkami;145;1,7;12,5;7,9;2,9;2,2
Surówka z rzodkiewki;95;7,5;5,9;3,5;0;0,9
Surówka z selerów i jabłek z olejem;99;1,1;7,5;8,9;3,4;3,6
Surówka z selerów, jablek i marchwi;67;0,9;0,4;16,5;7,4;3,5
Surówka wielowarzywna z jogurtem naturalnym;38;1,7;0,6;7;2,2;1,3
Brukselka, gotowana, z maslem;119;4,2;7,1;12;3,4;4,6
Buraki, gotowane, doprawiane;74;1,6;3,5;10;6,8;1,8
Buraki z jabłkami;73;1,5;3,3;10,3;6,6;1,8
Buraki, zasmażane;86;1,6;5,5;8,6;4,9;1,7
Buraki ze śmietaną;69;1,8;3,4;8,8;4,8;1,7
Ćwikła;44;1,6;0,1;10,2;7,3;2,1
Dynia z pomidorami;48;1,2;2,4;6,5;1,3;2,1
Fasola szparagowa, gotowana, z masłem;108;2,9;6,9;10,3;0,5;2,9
Groszek zielony, gotowany, z masłem;106;3,7;6,8;9,3;1,1;3,2
Kalafior, gotowany, z masłem;87;2;6,8;5,5;0,1;1,8
Kapusta biała, gotowana, zasmażana;73;1,6;4,7;7,1;0,4;2
Marchewka z groszkiem, gotowana;70;1,7;3,1;10,7;3,2;3,4
Marchewka, gotowana, zasmażana;75;1,1;4,8;8,4;1,6;2,9
Sałatka jarzynowa z warzyw gotowanych z majonezem;197;2,9;16,5;10,9;0,9;2,5
Sałatka jarzynowa z warzyw gotowanych z majonezem i jogurtem;121;3,2;7,5;11,6;1,2;2,5
Sałatka z kapusty czerwonej;87;1,4;6,5;7;1;2,1
Szpinak, gotowany, zasmażany;90;3,8;6,1;6,2;0,3;2,3
Bliny ziemniaczane;259;5,7;16,3;23,4;1,9;1,4
Budyń z mięsa i makaronu;174;10,7;4,4;23;0,3;1
Ciasto naleśnikowe biszkoptowe;189;8,5;5,9;25,5;1,9;0,7
Ciasto naleśnikowe bez piany;176;6,2;4,2;28,3;0,1;0,8
Kasza gryczana na sypko, z tłuszczem roślinnym;136;4,5;2,3;25;0,3;2,1
Kasza perłowa na sypko, z tłuszczem roślinnym;118;2,2;2;23,6;0,2;2
Kluski kładzione;167;5,5;1,3;33,3;0,1;1
Kluski lane;94;4,3;2;14,8;0;0,5
Kluski śląskie;172;2,6;3,8;32,1;0,5;1,4
Knedle ze śliwkami;165;2,8;5,9;25,7;4,8;1,4
Kopytka;150;4,2;0,7;32,1;0,4;1,6
Kotlety ziemniaczane;246;4,4;12,8;29,3;0,7;2,1
Kulebiak;223;7,8;12,7;19,9;1;0,7
Leniwe pierogi z sera twarogowego;243;14,6;13,9;15;4,5;0,3
Makaron dwujajeczny, gotowany;109;3,5;0,7;22,1;0,1;0,7
Naleśniki z kapustą;151;3,3;9,2;15,1;0,5;2,2
Naleśniki z serem twarogowym;243;10,2;10,3;27,3;13,5;0,4
Paszteciki drożdżowe z mięsem;346;9,7;20,4;31,9;0,3;1,6
Pierogi ruskie;169;5,9;5;25,5;0,2;1,1
Pierogi z mięsem;206;11,9;10,1;17,1;0,1;0,6
Pierogi z serem twarogowym;240;11,1;9,9;26,6;8,1;0,5
Pierogi z truskawkami;244;4,1;11,3;32,2;4;1,7
Pizza mięsno -ziołowa;336;18;13,2;36,8;1,4;1,8
Pizza z pieczarkami i cebulą;296;13,3;13,1;32,1;1,5;1,9
Placki ziemniaczane;235;3,6;14,5;23,6;0,7;1,8
Pyzy ziemniaczane;215;3,7;6,2;37,4;0,6;3
Pyzy ziemniaczane z mięsem;297;7,9;14;36,2;0,9;2,6
Risotto z mięsem;229;6,8;11,9;24,2;0,2;0,9
Ryż na sypko, z tłuszczem roślinnym;136;2,4;1,5;28,4;0,1;0,9
Ryż z jabłkami;156;2;2,2;32,3;12,4;1,2
Ziemniaki puree;92;2,1;1,4;18,4;0,5;1,5
Ziemniaki, z tłuszczem roślinnym;108;2;3,1;18,7;0,5;1,5
Jaja gotowane;109;9,8;7,6;0,5;0;0
Jaja sadzone;168;9,9;14,2;0,6;0;0
Jajecznica;119;9,8;8,7;0,5;0;0
Kotlety z jaj, smażone;277;8,1;22,8;10,8;0,2;0,5
Omlet biszkoptowy ze szpinakiem;142;5,9;9,7;9,3;0,2;2,4
Gruszki w sosie waniliowym;155;1,6;1,1;34,8;25,6;1,4
Jabłka pieczone;96;0,3;1,6;20,8;13,7;1,6
Jabłka w kruchym cieście;351;4,4;17,4;45;16,9;1,7
Kisiel porzeczkowy;102;0,3;0,1;25,7;17,7;2
Kisiel waniliowy;121;3,3;4,5;16,6;9,1;0
Kompot z jabłek;53;0,2;0,1;13,2;9,9;1
Kompot z wiśni;70;0,2;0,1;16,9;14,2;0,3
Mus jabłkowy;126;2,2;0,2;28,7;24,8;0,8
Truskawki w galaretce;128;15,4;0,2;16,1;13,8;0,6
Truskawki z bitą śmietaną ;129;1,1;10,4;8,6;4,1;0,9
